"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
0 0 0.727 0.551 199.318 211.627 155.397 147.457 0.13 0.408 0.81 0.894 0.721 0.028 NA 1 0.88 0 0.165 0.356 0.898 0 0.003 0.307 0.141 0.002 0 0.03 0.035 0.009 0.008 0.007 0.016
0.001 0 1.298 1.687 189.69 203.302 164.02 129.89 0.383 1.106 1.835 2.037 1.868 0.037 NA 1 1.729 0.001 0.398 1.342 2.042 0 0.054 0.144 1.166 0.005 0.011 0.021 0.154 0.002 0.01 0.265 0.155
0 0 0.45 0.516 146.485 152.176 96.659 107.35 0.103 0.089 0.721 0.937 0.677 0.016 NA 1 0.845 0 0.078 0.407 0.663 0.001 0.002 0.05 0.246 0 0.002 0.006 0.021 0 0.014 0.06 0.143
0 0.33 0.624 0.546 130.053 121.29 133.81 97.92 0.103 0.087 0.574 0.741 0.658 0.025 NA 1 0.678 0.001 0.119 0.285 0.571 0.004 0.04 0.042 0.428 0.001 0.001 0.039 0.151 0.002 0.003 0.012 0.018
0 0.379 0.725 0.951 165.206 214.058 179.175 141.658 0.091 0.604 1.294 1.057 1.095 0.037 NA 1 1.158 0.001 0.164 0.6 1.191 0.001 0.045 0.582 0.59 0 0.006 0.018 0.023 0.003 0.064 0.028 0.163
0 0.402 0.901 0.797 67.331 198.043 131.019 150.994 0.133 0.791 0.857 1.134 0.936 0.044 NA 1 0.916 0 0.17 0.936 1.103 0 0.006 0.143 0.612 0.002 0.005 0.008 0.059 0.003 0.004 0.023 0.375
0 0 1.058 1.461 161.425 166.945 153.972 138.28 0.356 0.208 2.202 1.813 1.707 0.063 NA 1 0.871 0.001 0.247 1.925 2.586 0.006 0.015 0.36 1.44 0 0.003 0.047 0.143 0.001 0.016 0.038 0.048
0 0.774 1.499 2.2 212.816 158.995 187.771 180.476 0.519 0.285 2.418 2.809 2.479 0.187 NA 1 0.421 0.004 0.649 2.192 2.877 0.01 0.334 1.924 0.64 0.003 0.006 0.669 0.567 0.002 0.002 0.023 0.79
0 0.307 0.634 0.791 202.173 184.178 175.293 115.037 0.183 0.63 0.789 0.784 0.629 0.018 NA 1 0.609 0.004 0 0.408 0.74 0.002 0.097 0.065 0.242 0.001 0.004 0.034 0.042 0 0.002 0.174 0.029
0 0.379 0.601 0.61 221.569 137.063 147.34 153.982 0.134 0.139 0.917 0.781 0.751 0.025 NA 1 0.925 0 0.134 0.748 0.843 0.002 0.016 0.112 0.215 0.003 0.001 0.011 0.071 0 0 0.152 0.05
0 0.488 0.757 1.099 121.035 169.693 147.108 124.155 0.171 0.891 1.244 1.27 1.127 0.034 NA 1 0.603 0.002 0.198 0.936 1.82 0.003 0.002 0.082 0.331 0.001 0.001 0.031 0.094 0.003 0.028 0.018 0.026
0 0.393 0.627 0.886 130.201 201.615 192.77 99.147 0.132 0.653 0.979 0.773 0.957 0.022 NA 1 0.881 0.007 0.161 0.927 1.356 0.004 0.01 0.055 0.239 0.002 0.001 0.023 0.089 0 0 0.011 0.133
0 0.569 0.734 0.503 153.838 113.73 133.495 116.198 0.107 0.534 0.724 0.97 0.568 0.013 NA 1 0.738 0.001 0.099 0.467 0.734 0.004 0.007 0.029 0.052 0.001 0.004 0.009 0.047 0 0 0.02 0.012
0 0 0.914 1.21 167.063 143.515 196.414 193.442 0.267 0.437 1.151 1.218 1.249 0.029 NA 1 1.479 0 0.207 1.059 2.316 0.004 0.013 0.219 0.64 0 0.002 0.083 0.023 0.002 0.038 0.026 0.058
0 0 0.795 0.765 170.092 150.359 182.083 134.456 0.12 0.091 0.817 0.817 0.753 0.018 NA 1 0.395 0 0.175 0.471 0.986 0.004 0.007 0.103 0.807 0.008 0 0.021 0.176 0 0.067 0.018 0.033
0 0.36 0.637 0.695 200.387 135.063 138.394 140.054 0.181 0.554 0.822 0.981 0.832 0.022 NA 1 0.886 0 0.157 0.551 0.839 0.001 0.004 0.07 0.39 0.002 0.001 0.01 0.036 0 0.003 0.079 0.033
0 0.435 0.58 0.711 120.632 193.25 123.569 145.821 0.121 1.277 1.094 0.942 0.939 0.034 NA 1 0.771 0 0.181 0.409 1.013 0 0.158 0.319 0.209 0.001 0.006 0.018 0.026 0.005 0.002 0.19 0.063
0 0 0.518 0.534 74.896 163.535 158.59 131.142 0.124 0.59 0.744 0.695 0.679 0.03 NA 1 0.772 0 0.149 0.618 0.629 0.002 0.012 0.055 0.228 0.002 0.002 0.025 0.106 0 0.005 0.007 0.15
0 0.278 0.432 0.439 74.18 105.531 124.095 99.44 0.092 0.377 0.505 0.644 0.496 0.012 NA 1 0.602 0.001 0.103 0.32 0.53 0 0.004 0.054 0.098 0 0 0.007 0.019 0 0.001 0.016 0.038
0 0.288 0.412 0.579 134.458 132.676 158.461 137.929 0.112 0.125 0.66 0.689 0.695 0.028 NA 1 0.771 0 0.116 0.347 0.998 0 0.008 0.112 0.266 0.002 0.005 0.014 0.05 0 0.003 0.039 0.021
0 0 0.726 0.746 164.379 134.33 201.522 141.28 0.197 0.154 1.036 0.805 0.933 0.021 NA 1 0.706 0.004 0.205 0.583 1.191 0 0.01 0.145 0.497 0.004 0.002 0.012 0.059 0.005 0.012 0.013 0.082
0 0.032 0.641 0.659 129.722 144.856 157.075 127.785 0.128 0.572 0.947 1.13 0.885 0.026 NA 1 0.927 0.002 0.149 0.496 1.168 0.001 0.016 0.025 0.525 0 0.002 0.01 0.073 0.002 0.005 0.021 0.019
0 0.278 0.373 0.399 158.874 170.946 140.645 109.581 0.13 0.517 0.643 0.598 0.555 0.017 NA 1 0.838 0.001 0.103 0.314 0.691 0 0.01 0.117 0.194 0.002 0 0.002 0.054 0.002 0.008 0.006 0.084
