"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
63.985 63.985 28.539 1.906 92.969 93.448 78.373 71.463 1.51 1.477 1.743 1.503 3.077 8.051 NA 14.301 25.835 72.152 63.985 25.033 0.001 78.025 64.017 25.011 0.005 70.787 67.803 25.684 0.002 73.469 63.97 25.164 0
61 63.25 31.079 1.082 86.831 93.668 80.803 70.638 13.04 1.554 1.439 1.906 3.51 8.906 NA 13.948 26.122 76.291 49.255 25.319 0 64 49.33 25.525 0.003 64 59.087 27.26 0.001 50.127 52.3 26.096 0
81 63.987 27.042 3.654 105.367 86.967 85.366 71.962 2.378 4.081 1.773 1.536 2.837 8.214 NA 14.477 31.451 69.61 64.051 24.993 0.001 73.037 63.987 25.088 0.014 72.313 80.949 25.319 0.01 80.983 64.238 25.044 0.008
80.864 64.051 32.936 4.399 98.383 89.289 99.271 76.83 4.858 3.701 2.6 3.233 2.923 10.923 NA 16.023 30.912 80.932 64.002 25.178 0.002 75.086 64.223 25.011 0.021 78.127 65.615 25.066 0.005 78.756 64.68 25.011 0
62.89 64.019 29.435 4.098 99.546 104.156 93.231 76.147 2.297 1.875 4.11 1.716 2.876 8.563 NA 15.776 29.497 80.966 64 25.138 0 61.765 63.82 25.088 0.006 63.76 53.665 26.145 0.002 63.985 60.595 25.046 0
63.4 63.85 32.345 2.887 105.626 90.16 84.223 72.776 2.257 1.828 1.735 1.562 2.579 7.221 NA 13.399 30.517 64 56.92 25.022 0.011 64 58.105 25.145 0.028 60.955 51.811 27.258 0.018 80.983 64 25.715 0.007
63.925 64 26.593 3.208 95.269 93.247 83.592 74.968 3.285 3.946 2.984 2.524 2.663 8.526 NA 14.202 28.49 65.428 64 25.046 0.005 79.963 64 25 0.029 63.985 65.496 25.055 0.016 64 64 25.057 0.001
81 64.272 31.328 4.881 95.58 104.313 89.494 77.21 21.28 2.642 2.742 3.692 4.191 9.011 NA 13.475 27.692 78.813 63.985 25.45 0.001 81 64.204 25.297 0.009 75.577 75.85 27.682 0.003 76.284 74.36 25.687 0
64 64 23.152 1.401 96.709 86.287 65.668 69.249 1.589 1.28 1.641 2.518 3.137 5.675 NA 11.992 28.725 49 62.725 25.011 0 59.035 63.985 25.022 0.003 49 64 25.228 0.003 81 47.507 24.99 0
65.207 64 28.056 4.884 95.404 95.52 81.626 77.733 4.439 5.036 7.358 2.658 3.088 7.372 NA 16.528 27.926 63.715 64 25.044 0 64 63.985 25.044 0.009 64 63.97 25.209 0.012 64 64 25.046 0.002
80.983 64 29.705 2.284 101.151 91.921 81.07 70.989 4.089 2.516 1.673 1.473 3.178 6.53 NA 13.503 32.778 65.683 64 25.264 0.001 77.413 63.97 25.308 0.007 62.875 64.902 26.146 0.001 74.812 55.376 25.561 0
63.955 64 23.908 6.523 87.258 88.525 83.338 76.226 9.908 10.637 4.184 2.068 2.951 10.395 NA 15.041 34.537 63.985 63.985 24.982 0.015 63.88 64 25 0.038 67.026 61.975 25 0.069 73.59 64.106 24.991 0.011
63.94 64 31.554 3.372 100.97 90.017 86.245 78.511 5.701 2.261 2.438 2.184 3.167 7.358 NA 13.616 26.901 64 63.985 25.143 0 73.452 64 25.132 0.004 68.675 64 25.882 0.001 63.595 63.822 25.495 0
80.983 49.017 30.787 13.027 107.346 104.094 93.345 79.791 3.966 17.696 20.538 2.874 4.908 12.728 NA 15.661 31.52 62.44 64 25.402 0.005 59.755 50.217 25.255 0.006 63.91 54.655 26.943 0.009 66.994 63.97 25.789 0
64 64 25.587 1.913 92.814 78.158 75.274 68.443 2.141 1.466 1.522 1.193 3.048 6.343 NA 14.733 23.708 80.966 64 24.991 0 70.919 64 25 0.003 65.411 60.1 25.033 0 64 59.95 24.847 0
64 63.97 27.033 4.827 95.591 99.998 82.476 76.918 5.773 5.056 2.345 2.378 3.121 8.086 NA 14.301 34.845 63.132 63.805 25 0.003 63.955 64 25.055 0.013 64 60.58 25.191 0.005 64 63.955 25.001 0
79.198 64 28.198 2.733 83.572 97.429 86.221 73.976 3.339 2.454 3.864 2.679 3.777 8.639 NA 13.666 32.109 64 63.985 25.143 0.001 74.183 63.67 25.077 0.001 64 64.238 25.644 0.001 64 64 25.376 0
81 64 24.711 5.583 92.476 97.764 90.233 79.035 7.949 6.72 4.003 2.452 3.761 8.408 NA 15.461 30.836 63.325 63.985 25 0.005 64 64 25.002 0.007 53.38 64 25.132 0.015 79.623 64 25.028 0
80.796 64.297 30.589 1.672 90.218 85.351 75.337 73.937 1.913 1.439 1.374 2.366 3.442 6.779 NA 14.041 31.412 78.671 64.748 25.099 0.001 81 64.387 25.217 0.014 79.487 77.554 26.122 0.007 80.711 69.015 26.121 0
66.654 63.985 28.504 7.543 104.99 101.236 95.327 81.987 15.787 9.358 9.007 4.129 3.562 11.216 NA 15.716 28.818 64 64 25.03 0.001 81 64 25.044 0.017 64 63.94 25.737 0.006 81 63.985 25.138 0
81 64.087 25.739 0.684 82.489 83.472 78.047 69.749 1.41 1.074 1.489 1.057 3.097 5.557 NA 13.786 25.215 71.636 64.034 25.011 0 81 64.002 25 0.005 81 66.722 25.079 0.005 81 64 25.033 0
77.872 63.985 26.845 1.853 88.779 89.696 83.91 67.826 1.659 1.775 2.342 1.524 3.222 4.813 NA 15.143 31.916 80.983 64.017 25.013 0 81 62.86 25.022 0.001 71.429 64 25.49 0.001 77.787 63.985 25.022 0
70.727 58.075 26.122 1.98 91.141 88.306 78.406 72.507 1.959 1.462 2.548 1.552 3.197 6.142 NA 14.758 30.711 62.029 64 25 0 80.473 64 24.937 0.004 76.988 64 25.121 0.003 80.643 51.325 25 0
63.985 64 28.156 3.14 101.449 106.131 81.548 72.998 2.856 8.75 2.561 2.644 3.327 10.012 NA 13.799 31.953 65.984 58.617 24.954 0 81 64.034 25.024 0.003 73.998 65.906 25.97 0.002 77.872 66.486 25.187 0
63.985 64 26.946 5.524 90.826 87.929 88.276 74.397 14.028 4.318 2.357 1.973 3.249 8.189 NA 14.395 34.093 64 64 25.21 0 63.865 64 25.011 0.004 63.85 64 25.488 0.007 63.955 64 25.363 0.002
81 64 25.882 1.096 79.248 82.573 79.53 70.586 2.149 2.218 1.659 1.642 2.649 6.469 NA 13.442 36.168 64 63.985 25.044 0.008 81 63.955 25.044 0.012 64 58.105 25 0.007 81 60.745 25.055 0.001
64 60.835 29.61 5.006 101.52 88.419 80.168 73.625 5.546 8.022 2.193 1.67 3.806 6.858 NA 15.169 29.224 64 64 25.088 0.001 57.13 64 25.081 0.014 55.585 62.335 25.668 0.004 63.835 63.985 25.162 0
63.985 64 25.677 1.961 90.68 87.021 86.381 68.587 2.137 2.129 1.992 1.762 2.935 6.371 NA 12.511 28.59 62.658 63.94 25 0.002 63.67 63.88 25 0.018 61 64 24.982 0.005 63.985 64 25 0
69.474 63.985 28.456 6.126 100.586 107.927 88.436 83.533 10.445 6.053 4.256 2.759 3.715 9.816 NA 15.908 34.062 66.363 64 25.011 0.002 68.884 63.97 25 0.019 68.195 65.139 25.36 0.012 80.711 64 24.946 0
64 64 25.286 3.442 86.956 85.598 81.951 71.003 2.878 2.356 2.209 1.848 2.387 7.121 NA 15.247 29.676 81 63.535 24.793 0.01 73.485 64 25 0.036 63.985 64 25.066 0.023 63.91 64 25.011 0.013
64 64 28.85 1.377 87.273 88.715 84.232 74.438 1.479 1.265 1.612 1.765 3.256 6.658 NA 14.032 27.06 63.985 63.985 25.178 0.001 63.955 64 25.132 0 64 49.99 25.442 0.001 64 51.115 25.231 0
63.97 63.985 28.535 1.612 79.448 86.589 77.224 66.251 1.244 3.573 1.241 1.601 3.159 7.016 NA 14.196 27.54 55.645 48.974 25.121 0 63.97 49.18 25.143 0.004 64 52.45 26.288 0.002 64 46.311 25.42 0
74.559 64 28.95 2.718 91.647 93.74 93.876 73.823 2.6 3.051 1.579 1.805 3.699 9.052 NA 14.835 28.949 70.083 64 24.766 0.001 64 64 25.242 0 80.983 66.465 26.205 0.004 65.122 63.985 25.136 0
81 64.017 30.628 6.316 106.096 94.744 79.743 76.872 5.287 8.542 8.167 1.977 3.361 9.479 NA 14.866 26.76 81 63.985 25.11 0 80.983 63.865 25.077 0.004 81 65.379 25.664 0.002 74.846 65.156 25.277 0
81 63.297 27.455 5.058 101.682 101.459 88.38 76.866 3.076 3.563 4.778 1.953 3.505 8.039 NA 15.89 25.872 80.983 63.52 25 0.004 80.983 63.985 25 0.012 80.796 63.829 25.03 0.011 80.728 65.955 25.077 0
81 64 27.469 1.97 97.201 98.313 85.804 74.06 2.206 1.511 1.789 1.989 2.886 7.189 NA 12.365 29.919 73.197 64.102 25.022 0.005 65.903 64 25.011 0.015 68.097 64 25.422 0.005 71.346 64 25.079 0.001
80.983 64.765 34.4 5.209 99.928 87.004 86.448 76.855 14.017 5.448 9.696 1.939 2.941 10.674 NA 14.113 34.662 80.167 65.022 25.189 0.005 80.031 66.397 25.279 0.019 80.558 80.677 26.998 0.006 80.184 78.975 25.375 0
