"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
0 0.095 0.141 0.173 26.276 34.302 24.6 21.718 0.029 0.159 0.14 0.18 0.163 0.029 NA 5.15 0.224 0 0.117 0.289 0.579 0.008 0.013 0.133 15.463 0 0 0.008 0.046 0 0.001 0.007 0.012
0 0.142 0.205 0.209 42.563 49.609 34.061 37.467 0.036 0.153 0.237 0.181 0.217 0.044 NA 5.58 0.263 0 0.139 0.335 0.698 0 0.006 0.214 34.714 0 0.001 0.005 0.008 0 0 0.002 0.021
0 0.071 0.098 0.129 20.369 20.043 17.59 18.501 0.03 0.119 0.145 0.173 0.115 0.036 NA 4.77 0.217 0 0.051 0.209 0.483 0 0.003 0.074 13.357 0.001 0.004 0.009 0.025 0 0 0.007 0.006
0 0.122 0.132 0.151 36.509 34.161 29.723 21.567 0.029 0.142 0.18 0.183 0.146 0.034 NA 5.123 0.23 0 0.096 0.261 0.69 0 0.003 0.028 14.798 0 0 0.001 0.031 0 0 0.01 0.007
0 0.156 0.161 0.149 23.119 31.599 25.456 20.359 0.038 0.158 0.178 0.201 0.143 0.041 NA 5.529 0.238 0 0.136 0.268 0.787 0.001 0.006 0.055 19.787 0 0 0.004 0.035 0 0 0.007 0.008
0.001 0.113 0.124 0.149 49.436 32.512 28.433 20.761 0.038 0.142 0.24 0.164 0.169 0.036 NA 5.243 0.273 0 0.11 0.264 0.648 0 0.038 0.119 14.047 0.001 0 0.009 0.023 0 0 0.003 0.015
0 0.098 0.114 0.126 24.473 9.787 17.819 22.862 0.03 0.116 0.185 0.143 0.138 0.028 NA 5.138 0.199 0 0.058 0.197 0.428 0 0.004 0.026 8.719 0 0.001 0.006 0.013 0 0 0.002 0.008
0 0.211 0.247 0.308 46.472 42.786 50.673 39.134 0.049 0.204 0.352 0.262 0.259 0.053 NA 6.102 0.341 0 0.229 0.466 1.179 0.002 0.012 0.04 37.635 0 0.001 0.007 0.028 0.001 0.001 0.003 0.038
0 0.125 0.128 0.144 45.238 28.034 30.112 25.412 0.033 0.14 0.179 0.17 0.152 0.046 NA 5.095 0.186 0.001 0.1 0.29 0.628 0.001 0.005 0.125 17.459 0 0 0.008 0.021 0 0 0.014 0.023
0 0.089 0.145 0.153 38.429 51.434 37.456 18.965 0.027 0.124 0.14 0.219 0.153 0.035 NA 5.241 0.209 0.001 0.103 0.206 0.577 0 0.046 0.126 17.215 0 0.004 0.009 0.015 0.001 0 0.002 0.026
0 0.12 0.153 0.175 43.416 36.836 33.141 20.055 0.027 0.166 0.213 0.176 0.155 0.05 NA 5.44 0.247 0.002 0.137 0.288 0.781 0 0.052 0.123 20.4 0 0 0.003 0.035 0 0.001 0.002 0.012
0 0.104 0.105 0.165 28.245 33.924 22.165 30.807 0.029 0.142 0.155 0.163 0.133 0.046 NA 5.499 0.235 0 0.091 0.226 0.517 0 0.002 0.035 14.64 0 0.001 0.011 0.024 0 0 0.007 0.018
0 0.095 0.107 0.123 35.478 25.812 33.237 29.602 0.025 0.128 0.171 0.13 0.14 0.031 NA 5.063 0.218 0 0.09 0.205 0.527 0 0.004 0.066 13.135 0 0.001 0.001 0.02 0 0 0.005 0.004
0 0.099 0.158 0.155 27.834 42.558 14.832 29.686 0.03 0.174 0.211 0.188 0.158 0.028 NA 5.438 0.303 0 0.135 0.236 0.558 0 0.094 0.104 19.264 0 0.002 0.008 0.027 0 0.001 0.005 0.034
0 0.188 0.174 0.215 47.117 41.93 44.252 41.715 0.037 0.187 0.236 0.255 0.21 0.041 NA 5.557 0.338 0 0.227 0.564 0.998 0 0.007 0.188 31.884 0 0.001 0.007 0.054 0 0 0.022 0.018
0 0.2 0.299 0.241 39.119 42.37 40.489 41.034 0.048 0.221 0.322 0.407 0.266 0.063 NA 5.91 0.369 0.003 0.213 0.534 1.157 0 0.01 0.231 31.061 0 0 0.008 0.016 0.001 0.019 0.051 0.025
0 0.208 0.245 0.29 51.369 32.283 36.73 36.551 0.034 0.253 0.28 0.314 0.31 0.044 NA 5.853 0.35 0.002 0.233 0.474 1.202 0.002 0.008 0.196 34.062 0.001 0.001 0.003 0.055 0.001 0.002 0.007 0.033
0 0.105 0.192 0.144 28.447 38.991 13.98 20.17 0.022 0.181 0.231 0.213 0.202 0.028 NA 5.256 0.305 0 0.105 0.253 0.708 0.001 0.013 0.134 14.116 0.001 0.003 0.004 0.036 0 0.001 0.001 0.036
0 0.147 0.134 0.212 28.389 24.62 32.98 32.357 0.028 0.158 0.22 0.23 0.176 0.049 NA 5.796 0.248 0 0.108 0.288 0.684 0.001 0.014 0.131 25.816 0 0 0.013 0.04 0.001 0.025 0.007 0.003
0 0.099 0.126 0.137 37.019 22.676 21.075 18.131 0.016 0.139 0.15 0.147 0.139 0.026 NA 4.926 0.213 0 0.056 0.292 0.531 0 0.004 0.05 17.683 0 0 0.003 0.023 0 0.005 0.007 0.012
0 0.141 0.167 0.172 26.937 31.703 25.583 30.559 0.024 0.175 0.258 0.182 0.195 0.047 NA 5.583 0.221 0 0.069 0.324 0.769 0.002 0.006 0.134 19.038 0.001 0.002 0.019 0.005 0 0.002 0.005 0.021
0 0.159 0.162 0.17 14.832 37.441 28.592 24.551 0.033 0.148 0.183 0.205 0.157 0.036 NA 5.567 0.212 0 0.138 0.302 0.698 0 0.014 0.105 20.581 0.001 0.001 0.011 0.035 0 0 0.032 0.019
0 0.141 0.173 0.214 39.438 25.609 32.748 34.424 0.04 0.221 0.233 0.268 0.213 0.055 NA 5.596 0.335 0.001 0.153 0.385 1.035 0 0.146 0.216 19.629 0 0.001 0.004 0.027 0 0.004 0.001 0.01
0 0.165 0.178 0.212 28.751 36.501 32.511 22.668 0.035 0.197 0.261 0.26 0.172 0.045 NA 5.293 0.238 0.002 0.096 0.377 0.828 0 0.005 0.156 17.079 0.001 0.004 0.007 0.029 0 0.001 0.006 0.011
0 0.097 0.098 0.112 34.709 16.606 17.275 20.71 0.022 0.132 0.12 0.16 0.097 0.031 NA 4.818 0.209 0.001 0.075 0.172 0.445 0.001 0.007 0.038 11.742 0 0 0.003 0.018 0 0 0.002 0.015
0 0.146 0.164 0.195 26.114 20.264 29.546 16.108 0.032 0.212 0.225 0.23 0.199 0.03 NA 4.981 0.293 0.002 0.07 0.336 0.721 0 0.074 0.162 14.973 0 0.001 0.01 0.015 0 0.003 0.002 0.029
0 0.115 0.143 0.23 47.675 34.027 12.235 28.436 0.034 0.199 0.222 0.206 0.187 0.04 NA 5.113 0.279 0.004 0.123 0.293 0.655 0 0.01 0.11 14.922 0 0.001 0.033 0.012 0.002 0.001 0.009 0.013
0 0.165 0.216 0.249 41.656 30.662 46.96 30.623 0.039 0.245 0.262 0.286 0.217 0.056 NA 6.262 0.322 0 0.147 0.368 1.023 0 0.01 0.168 28.488 0.002 0.001 0.029 0.038 0 0.001 0.038 0.031
0 0.096 0.195 0.193 55.349 38.691 39.76 25.438 0.029 0.192 0.262 0.225 0.146 0.036 NA 5.76 0.288 0.001 0.124 0.381 0.878 0.003 0.003 0.114 28.073 0 0 0.003 0.017 0 0 0.004 0.022
0 0.101 0.166 0.132 49.075 38.911 26.162 25.657 0.029 0.171 0.207 0.218 0.165 0.046 NA 5.255 0.248 0.002 0.149 0.302 0.862 0.003 0.149 0.116 25.888 0 0 0.002 0.014 0 0 0.017 0.015
