"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
-7 -8 -7 -7 13 -6 11 0 -7 -7 -7 -7 -7 NA NA -7 -8 -7 -7 -7 -7 -7 -7 -7 -6 -7 -7 -7 -7 -7 -8 -7 -7
-8 -7 -7 -7 -4 -3 -4 -4 -7 -7 -7 -7 -7 NA NA -8 -8 -8 -7 -7 -7 -8 -8 -7 -7 -8 -7 -7 -7 -8 -7 -7 -7
-8 -8 -7 -7 13 12 10 -4 -8 -8 -7 -7 -7 NA NA -8 -8 -8 -8 -6 -6 -8 -8 -6 -6 -8 -8 -7 -7 -8 -8 -6 -7
-7 -7 -7 -7 9 9 -5 -5 -7 -7 -7 -7 -7 NA NA -7 -7 -7 -7 -7 -6 -7 -7 -7 -6 -7 -7 -7 -7 -7 -7 -7 -7
-10 -9 -8 -8 -3 0 -4 -4 -8 -8 -8 -8 -8 NA NA -10 -10 -10 -9 -8 -8 -10 -9 -8 -6 -10 -9 -8 -8 -10 -9 -8 -8
-8 -8 -7 -7 -3 -3 -4 -6 -7 -7 -7 -7 -7 NA NA -8 -8 -8 -8 -7 -7 -8 -8 -7 -7 -8 -8 -7 -7 -8 -8 -7 -7
-8 -8 -7 -7 -1 -1 -1 -2 -7 -7 -7 -7 -7 NA NA -7 -8 -8 -8 -7 -5 -8 -8 -6 -5 -8 -8 -7 -6 -8 -8 -6 -5
-8 -8 -7 -7 -1 -2 -2 -2 -8 -7 -7 -7 -7 NA NA -8 -8 -8 -8 -7 -7 -8 -8 -7 -6 -8 -8 -7 -7 -8 -8 -8 -7
-7 -7 -7 -7 8 4 4 -1 -7 -7 -7 -7 -7 NA NA -8 -9 -7 -7 -7 -7 -7 -7 -7 -3 -7 -7 -7 -7 -7 -7 -7 -7
-6 -7 -6 -6 13 13 14 13 -6 -6 -6 -6 -6 NA NA -6 -7 -6 -6 -6 -5 -6 -6 -6 -5 -6 -6 -6 -6 -7 -6 -6 -6
-7 -7 -6 -6 7 7 6 7 -7 -7 -6 -6 -6 NA NA -7 -7 -7 -7 -6 -6 -7 -7 -6 -5 -7 -7 -6 -6 -7 -7 -6 -6
-8 -8 -8 -8 11 9 9 9 -8 -8 -8 -8 -8 NA NA -9 -9 -8 -8 -8 -6 -8 -8 -8 -6 -8 -8 -8 -8 -9 -8 -8 -8
-8 -7 -6 -6 -1 -1 -4 -3 -6 -6 -5 -5 -5 NA NA -7 -9 -8 -7 -6 -5 -7 -7 -6 -5 -8 -8 -6 -5 -8 -7 -6 -5
-8 -8 -6 -6 1 2 2 1 -7 -7 -6 -6 -6 NA NA -8 -8 -8 -8 -6 -6 -8 -8 -6 -6 -8 -8 -6 -6 -8 -8 -6 -6
-6 -6 -6 -6 -5 -6 -6 -6 -6 -6 -6 -6 -6 NA NA -6 -7 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6
-7 -7 -6 -6 -2 -4 -4 -5 -7 -7 -6 -6 -6 NA NA -7 -8 -7 -7 -5 -5 -7 -8 -5 -5 -7 -7 -5 -6 -7 -7 -5 -5
-8 -8 -7 -7 7 7 5 6 -7 -7 -7 -7 -7 NA NA -8 -8 -8 -8 -6 -6 -8 -8 -6 -6 -9 -8 -7 -6 -8 -8 -6 -6
-8 -8 -8 -8 3 2 -6 2 -8 -8 -8 -8 -8 NA NA -8 -8 -8 -8 -8 -7 -8 -8 -8 -7 -8 -8 -8 -8 -8 -8 -8 -8
-8 -8 -8 -8 -6 -6 -6 -6 -8 -8 -8 -8 -8 NA NA -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8
-7 -7 -6 -6 10 -4 -4 -4 -6 -6 -6 -6 -6 NA NA -7 -8 -6 -6 -5 -5 -6 -6 -5 -5 -6 -6 -6 -6 -6 -6 -6 -5
