"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
0 0.067 0.091 0.128 11.617 16.711 18.064 10.459 0.023 0.145 0.134 0.121 0.133 0.06 NA 5.19 0.132 0 0.066 0.168 0.467 0 0.026 0.019 3.565 0 0.005 0.004 0.018 0 0 0.022 0.008
1 0.79 0.806 0.783 33.904 27.925 18.167 30.397 0.961 0.772 0.772 0.769 0.831 0.96 NA 2.836 0.789 0.997 0.741 0.736 0.735 1 0.997 0.852 20.959 1 1 0.989 0.996 1 1 0.975 0.986
0.899 0.942 0.919 0.925 6.788 2.841 3.937 3.258 0.876 0.898 0.893 0.913 0.924 0.961 NA 2.007 0.883 1 0.962 0.904 0.825 1 0.998 0.976 1.063 1 0.994 0.999 0.979 0.999 1 0.997 0.991
0 0 0.295 0.326 48.816 70.892 55.103 54.203 0.08 0.139 0.3 0.333 0.315 0.108 NA 8.402 0.358 0 0 0.886 1.773 0 0 0.579 34.633 0.001 0.002 0.008 0.052 0 0.018 0.023 0.046
0.999 1 0.678 0.698 77.149 73.199 70.766 64.113 0.8 0.6 0.669 0.791 0.775 0.905 NA 2.977 0.788 1 1 1.638 4.282 1 0.705 0.755 31.892 0.997 0.99 0.95 0.86 1 0.965 0.827 0.938
0 0 0.987 1.144 170.209 129.038 110.46 101.833 0.198 0.218 1.243 1.698 1.385 0.272 NA 11.296 0.177 0.003 0 5.389 13.718 0 0 5.204 54.568 0 0 0.351 0.811 0.007 0 0.803 0.644
0 0 0.423 0.49 65.583 78.638 84.787 63.032 0.16 0.142 0.51 0.609 0.682 0.172 NA 3.946 0.779 0 0 2.016 3.169 0.001 0 1.107 40.293 0.248 0 0.06 0.086 0 0.006 0.031 0.275
0.001 0 0.425 0.397 50.141 57.378 66.265 60.349 0.103 0.075 0.575 0.555 0.54 0.134 NA 7.398 0.49 0 0 1.731 3.473 0.003 0.012 1.628 38.452 0 0.002 0.042 0.233 0 0 0.052 0.243
1 0.842 0.866 0.856 37.277 19.67 33.469 21.885 0.949 0.828 0.834 0.821 0.863 0.974 NA 2.62 0.81 0.999 0.881 0.792 0.823 1 0.967 0.904 21.361 1 0.995 0.991 0.965 1 0.999 0.994 0.98
0 0.001 0.281 0.39 77.91 69.048 49.085 61.85 0.076 0.206 0.419 0.519 0.54 0.106 NA 7.567 0.501 0.005 0 1.081 2.154 0.001 0 0.763 40.568 0.001 0.002 0.112 0.103 0.002 0.002 0.028 0.042
3.982 1.012 0.449 0.819 109.742 120.837 101.146 93.24 0.305 0.2 1.135 1.249 1.203 0.742 NA 5.114 1.398 2.899 1.001 2.487 13.443 2.125 1.06 2.282 41.79 3.889 1.369 0.458 1.003 3.595 1.072 0.892 0.769
0 0.319 0.439 0.573 37.251 35.617 33.264 26.071 0.182 0.489 0.636 0.726 0.857 0.089 NA 5.117 0.798 0 0.244 1.087 2.391 0 0.091 0.434 13.681 0 0.005 0.071 0.161 0 0.016 0.019 0.212
0 0 0.722 1.066 120.484 84.004 112.659 100.732 0.264 0.175 1.076 1.087 1.186 0.58 NA 6.532 1.718 0.001 0 4.544 10.096 0.001 0 2.733 51.401 0.001 0.007 0.413 0.47 0.004 0.003 0.747 0.752
0 0 0.686 0.731 94.63 106.465 109.603 82.955 0.155 0.115 0.935 0.943 0.768 0.199 NA 8.627 0.461 0.002 0 3.364 7.297 0.001 0 2.524 49.342 0 0 0.271 0.292 0 0 0.353 0.261
1 0.818 0.839 0.784 47.369 35.995 56.753 40.135 0.957 0.764 0.781 0.817 0.831 0.103 NA 2.579 0.763 1 0.68 0.772 0.845 1 0.807 0.863 29.823 1 0.999 0.978 0.972 0.998 0.998 0.995 0.97
