"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
9 9 4 4 9 9.04 9.016 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9.314 9 9 9 9 9 4 9 9 9
9 9 4 9 9 4 9 9 9 9 9
9 9.062 9 9 9 9 7.022 9 9 9 9
9 9.125 4 9 9 9 16.033 9 9 9 9
9 9 9.04 9 9 9 9 9.062 9 9 9
9 9 9 9 9 9 9 9 9 9 9
25.011 9 9 9 9 9 9 9 9 9 4
9 9 9.04 9 9 9 9 9.027 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9.055 9 9 9 9
9 9 9 9 9 9 9 1 9 9 9
9 9 9 9 9 9 9 9 25.011 9 9
9 9 4 25.035 9 9 9 9 9 9 9
9 9 9 9.04 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
4 9 4 4 9 9 9 9 4 9 7.92
9 4.105 9 9 9 9 9 9 9 9 9
16.255 20.818 9 9 9 4.06 9 4 9 9 9
9 9 9 9 9 9 36.028 9 9 9 9
16.033 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9.04 16.048 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9.027 9 4 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
4 4 4 4 4 9 4 4 4 9 4
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 4 9 9 9 9 9 9
9 16.02 9 9 9 9 9 9 9 9 9
9 9 9 16.02 9 9 9 9 9 9 9
9 9 9 9 25.024 9 9 9 9 9 9
9 9 9 9 9 9.03 9 9 4.045 9 16.075
9 9 9 9 9 9 9 9 9 9 9
9 1 4 4 6.475 9 4 16.033 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 16.042 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
16.074 9 9 9 4.032 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 4 9 9 9 9 4 9 9 9 9
9 9 9 9 9 4 9 9 9 9 9
9 9 9 10.017 9 9 9 9 9 9 9
9 1.035 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 16.02 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
16.033 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
36.324 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9.016 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
4.115 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9.055 9 9 9 16.075 9 9 9 9 9 4.055
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9.027 9 9 9 9 9 9 9
4.095 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 4 9 9 9 9 9 9 9
4 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 4.755 9 9 9 9 9 9 25.133 9 9
9 9 9 9 9.034 9 9 9 9 9 9
9 9 9 9 9 4 9 9 9 9 9
9 9 9 9.027 9 9 9 9 9 9 9
9 4 4 4 4 9.027 4 4 4 9 4
9 9 9 9 9 9 9 9 9 9 9
16.02 9 9 4 9 9 9 9 9 9 9
9 9 9 9 9.04 9 9.027 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
36.013 9 9 9 9 9 9 9 9 9 9
9 9 4 9 9 9 9 9 9 9 9
9 9 9 9.04 9 4.045 9 9 9 9 9
9 9 9 4.021 9 9 9 9 1.252 9 36.026
49.015 9 9 9.027 25.011 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 16.033
9 9 9 9 9 9 9 16.033 9 9 9
9 9 9 9 9 9 9 9 9 9 9.027
9 9 9 9 9 25.039 9 9 9 9 10.257
9 9 9 9 9 9 9 9 9 9 9
1.043 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
25.024 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 16.033 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9
9 16.02 9 9 9 9 9 9 9 9 9
