"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
36 25.024 48.974 49 25 36 25 25 16 4 16
25 36 64 25 4 25 49 25 36 4 25
25.068 36 25 16 49 16 25 25 36 9 16.038
36 25 16 16.033 16 49 64 36 49 1 36
16.02 25 16 64 36 64 25 36 36 4 25
16 25 49 49 9 49 49.015 36 36.028 1 25
49 49 25 36 64 36 36 25 25 4 16.033
36 49 36 25 49 36 49 25 16 4 16
49 64 25 36 64 36 36 25 25 4 25
36 25.039 16 25 36.013 49 49 16 36 4 36
47.427 25 36 25 18.034 16 36 16 30.39 4 16
36 49 25 25 25 36 49 9 4 4 16
36 49 36 25 16 36 25 25 36 4 36
25 36 16 25.728 36 9 25 36 25 4 16
36 25 25 36 36 25.024 16 25 25 4 25
36 49 49 36.013 16 49.555 25 25 9 4 16
16 36 25 64 25.024 42.006 36 49 16 4 64
25 81 36 36 36 9 49 49 36.028 4 49
36 9 49 16 16 36 49 49 25 4 36
36 9 36 49 25 49 25 36 49 1 36
49 36 25 16 81 25 16 25 36 4 26.106
49 16 25 36 25 25 25 36 16 4 36
16 25 49 49 25.011 25 36 25 36 4 25.011
49 49 49 49 25 36 36 49 25 4 25
64 64 47.96 36 25 36 36 36 25 4 16
25 25 16 16 36 16.033 25 25 49 4 25
25 25 36 25 25 36.013 25 49 25 3.541 49.015
49 25 49 36 36 36 36 49 46.543 4 25
36 49 25 64 25 36 49 36 36 1 36
25 49 49 36 36 36 36 36 16 4 49.015
25 25 36 36 25.178 36 36 16 36 4 36
60.1 36 36 36 36 36.028 36 36 25 4 16
25 49 36 49 36 36 25 49 25 4 25
25 27.046 16 81 25 25 25 36 16 4 25
36 36 36 49 36.028 49 36 16 25 4 36
16 64 36 36 36 25 16 64 16 4 49
25.011 16 36 36 36 25.024 9 25 25.011 4 25
36 16 81 36 49 36 49 49 36 4 49
25 36 36 36 25 36 36 10.194 36 4 25
37.081 25.011 49 36 36 36 36 16 36 4 36
25 49 25 36 36 25 49 25.319 49 4 64
49 49 49 64 36 25 49 16 36 4 49
25 64 81 16 49 25 25 36 25 1 49
64 25 25 36 25 49 25 49 37.3 4 36
36 49 16 49 25.024 25 49 49 36 1 36
64 25 36 16 49 36 9 49 25 4 25
36.026 36 81 25 36 25.024 16 49 36 1 25
77.566 36 49 25 36 36.34 49 25 36 4 36
25 49 16 36 49 64 36 25 49 4 36
64 64 49 36 49 16 36.013 25 36 4 36
36 25 49 64 36 49 49 64 36.028 4 36
25.011 16 57.7 25 39.302 49 25 36 16 4 25
49 49 36 49 36 49 36.028 81 25 4 36
49 36 64 49 25 16.033 16 25 49 4 36
16 49 64 49 49 25 36 25 36 1 49
36 36 49 36.028 25 36.013 49 16 36 4 25
49 49 36 25 36 25 16.02 36 25 4 36
16 64 64 16 36 38.361 25 49 16.434 4 36
49 25 49 64 64 36 49 64 25 4 25
36 25 64 25 36 16.033 16 25.011 16 4 16.02
25 9 36 49 49 36 25 49 36.013 4 36
16 64 25 16 36 25 64 36 36 4 19.906
36 25 49 16 25 36 16 25.836 36 4 25
16 25 49 25 49 36.013 36.013 9 49 4 49
36 36 36 49 36 36 16.033 25 49 4 25
16 36 49 49 25 25 25 49 49 1 16
36 49 25 36 25 36 25 49 49 4 49
25 64 49 49 25 36 64 49 36 1 25
36 64 49 49 36 25 49 49 25 4 25
36 49 25 25.011 36.013 25 25 25 25 4 36
49 16 49 49 16 64 36 49 36 4 36
25 36 36 25 25 25 16 25 25 4 25
25 25 36 36 36 25 36 49 25.011 4 25
25 4 36 16 17.28 25 25 36 36 4 4
25 16 36 64 49 64 9 25 9 4 25.024
9 36 36 25 25 36 36 49 49.045 4 16
25.024 36 25 25 25 36 36 16 25 4 25
16 25 64 36 36 36 49 16 25 4 49
36.026 41.603 36 36 46.543 16 49 16 49 4 16
36 25 36 49 25 36 49 49 36 4 36
16 49 64 36 36 25 49 49 16 4 49
25 36 25 25 64 25 25 36 9 4 36
63.58 64 36 49 36 49 49 49 49 4 16.02
9 25 25 64 35.318 64 25 25 25 1 81
36 36 25 64 49 25 25 49 25.039 4 36
49.015 49 25 36.013 49 36 25 36 25 4 49
36 37.516 16 49 36 25 25 25 25 1 25
25 36 49 25 49 25 49 25.011 25 4 9
16.068 64 36 36 16.02 49 25 36 36 1 36
36.013 36 36 36 36 25 64 49 25.024 4 36
36 36 36 49 36 36 36 36 46.595 4 49
36 64 49 16 16 49 49 49 36 4 25
25 25 25 36 36 36 49 36 25 4 25
81 64 64 25 9 25 16 16 36 4 49
25 25 49 16 64 49 49 49 36.175 4 36
25 25 49 16 36 25.024 36 36 36 4 36
25 16 16 44.608 9 64 49 49 25 4 36
49 25 36 49 25 36 36 36 36 4 36
49 49 49 25 36 36 36 49 16 4 49
64 49 36 36 25 25 25 36 16 4 25
