"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
4 4 9 9 9 1.038 9 4 9 9 9
5.457 9 9 1 0.981 4.619 9 5.178 8.46 9 9.04
9 4 4 9 4 4 9 9 9 9 4
4 1 9 4 1 9 9 4 9.027 9 9.047
9 9 4 9.11 9 9 9 9 9 9 4
9 9 9 9 9 4 9 9 4 9 9
4 9 4 9 9 4 9 4 4 9 9
9 9 1 1 9 1 9 1 9 9 9
0 1 1 1 1.029 1 1 5.431 0 9 1.674
4 4 4 4 4 0 9 4 9 9 4
4 25.039 9 9 6.285 9 9 9 9 9 9
1.048 1 0 0.999 9.055 8.995 4.011 0 8.995 9 2.297
1 1.003 0.014 4.192 4.06 1.225 0.68 9 4 9 0.997
8.99 4 8.52 1 9 1 1 9 1 9 3.997
9 9.034 9 9 9 9 1 9 9 9 4
1 4 4 9.125 0.999 4 4 4 9 9 8.735
9 9 9 9 9 25.024 9 9 9 9 9
6.8 4 9 9 9 9 9 9 9.055 9 16.033
9 9 9 9 1 9 4 9 16.02 9 9
1 9 9 4.06 9 9 9 9 9 9 3.997
9 9 4 4 4 9 9 4 9 9 9
9 9 9 9 9 9 4 1 9 9 16.048
9 9 9 9 9 9 9 9 9 9 9
9.062 4 0 0 4 1 4.21 0 8.995 9 4
4 9 16.048 9 9.062 0 9 4 9 9 9
3.994 3.127 5.605 1 5.817 5.347 3.997 0 4 9 3.991
9 1 9 9 9 9 9 4.06 9.04 9 9
0 4 1 4.885 1 4 4 25.024 9 9 2.575
9 9 9 9 4 9 9 9 9 9 9
9 8.655 4 5.49 9 9 4 9 4 9 8.99
1.003 8.995 0.157 9 1 3.29 4.975 8.99 1 9 2.503
10.921 0 0 0 1 1 4 3.991 8.995 9 2.726
9 1 1 1 9 1 1 1 9 9 8.145
9 4 1 1 9 4 16.042 1 9 9 6.725
3.733 0 0 16.797 9 8.99 1 0 9 9 5.902
2.359 1 3.959 1 2.917 2.347 1 1 1.452 9 1.192
9 9 9.055 9 1 9 9 9 1 9 8.995
9 0 4 4 1 1 0 1 9 9 6.14
4 4 1 25.039 9 9 4 9 9 9 4
0.097 0 0.269 0.068 0.146 16.009 0.363 4 0 9 0.017
4.942 16.042 8.99 1 3.971 1 1 1 1 9 1
9 1 9 9 9 9 9 9 9 9 0
9 4 9 4.045 9 1 4 9 9 9 9
9 4 1 9 9 4 4 4 4 9 8.985
9 4 1 9 9 0 9 4 9 9 4
4.905 4 4 4 4 4 4 6.495 4 9 4
4 4 9 9 4.075 9 9 4 4 9 9
9 9 9 4.045 1 9 9 9 9 9 9
1 4.295 1 1 1 4.342 2.254 1 4 9 3.364
1 4.032 0.996 1.201 3.517 3.567 1 7.979 9 9 4
9 9 9 4.052 9 9 9 9 9 9 4.032
6.65 9.04 1 0 4 18.343 4 9 16.029 9 4.405
4 4 4 9.04 0.024 4 2.326 5.85 4.16 9 3.121
0.9 4 4 0.708 0.484 16 1 4 1.306 9 1.592
0 0 0 0 4.87 0 0 0 0 9 0.068
1 1 4 4 7.2 4 9 1 9 9 6.92
9 7.95 4 1 4.235 8.985 1 9 9.04 9 1.787
2.918 1 1 1 0 4 1 0.818 1 9 1.622
4.327 1 4 4 0.372 7.65 1.003 1.684 1 9 4
0 9 9 4 9 9 9 9 9 9 9
9 4 4 9 4 9 9 4 9 9 9
9 9 25 25.056 9 3.374 9 25 8.11 9 20.005
1 0.518 4 4 9.119 9 1 4.1 4.045 9 1.156
4 0.001 0.821 0 16 16 12.689 25.039 3.458 9 0.671
9 4 1 4 9 9 1 9 5.39 9 7.83
4 4 9 4 16.057 4 9 9 9 9 8.99
1.494 1 1.213 1.09 1.082 1 1.211 0 0.415 9 1.135
1 0 1 1 9 8.162 1 0 9 9 6.019
1 9 9 9 9 9 9 9 9 9 9
9 2.203 0 9 9 9 36.013 0 1 9 9
9 1 9 1 0 9 9 1 16.033 9 9
3.447 8.99 1 1 5.692 6.56 1 1 9.04 9 1.582
4 9 4 4 1.273 4 1.876 1.06 1.106 9 2.162
1 1 1 1 1.154 1.003 1 1.045 1.626 9 1.395
4.125 9 4 9 4 9 9 9 4 9 4
4.475 4.045 4 4 7.51 7.036 4.04 4.395 4.057 9 5.07
9 16.033 4 9.027 4 4 9.055 9 9 9 9
16.065 9 0 4 9 9 9 9 9 9 9
4.06 4 4 9 9 4 9 9 9 9 9
9 4 4 9 9 9.055 4 4 9 9 9
0 0 8.025 4.037 4.823 4.057 2.956 0 1 9 0.862
9 9 0 0 9 9 9 8.99 0 9 0
1.08 0 0 0 2.287 0.334 0 0 0.681 9 0.675
16 4 1.081 2.35 9 9 9 9 9 9 6.568
6.388 0 2.06 0 17.829 4.877 4 0 0.056 9 1
9 4 9 9 1 9 9 4 4 9 9
3.263 1 3.674 1 9 1 1 8.735 1 9 3.13
0.748 0.002 0 0 0.977 0.191 1 0.025 4.114 9 2.397
3.78 1 1 9.449 1 2.224 5.41 1 4.142 9 0.354
4 1 4 1 16.048 8.995 1 1 1 9 9.027
9 9 4 4 9 9 9 9 4 9 9
5.39 0 0 1 8.975 3.31 1.005 0.477 1 9 0.947
5.482 1 4 3.955 1 9 7.02 8.975 3.997 9 6.536
4 9 9 4 9.072 1 3.997 9 9 9 4.327
9 9 9 9 9 9 9 4 9 9 9
9 9 9 9 9 1 9 9 4 9 9
4.675 4 4 4 4 4 4 4 4 9 4.05
9.055 6.567 1 7.725 16.048 2.737 1 1 0 9 0.149
9 9 4 4 9 4.032 9 9 9 9 9.055
9 9 9 4 9 4 9 9 9 9 9
