"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
4 1 4 1 4 0 1 1.003 1 9 1
0 9 12.038 4 16.288 9.525 16.378 4.06 1 9 1
3.631 1 0 0.005 0 0 1 0 1 9 1.189
0 1 1 1 1 0 1 1 0 9 1
4 2.212 4 0 1 1 0 0.001 1 9 1
1 4 1 0.953 1 1 5.49 1 0 9 1
4.06 0 1.048 0.019 1 1 9.04 0 1 9 0.999
1 1 4 9 4 3.994 1 1 25.243 9 24.833
1 0 0 1 16.057 1 0 0 9.04 9 0
0 0 1 1 1 1 1 0 1 9 0
0 0 0 1 1 4 1 4.032 9 9 0
1 1 1 1 4 1 1 0 0 9 0.613
16.362 9 9.357 3.819 9.153 4 1 4 0 9 0.99
0.391 4 1 4 0 0 0 0 0.979 9 4.06
9.59 0.269 1 16 3.142 4 1 0 1 9 0.007
4.032 1 9 9 15.761 16.096 1 9 1 9 1
4 9 0.877 9 1 0.635 0.608 1 1 9 0.91
4 0.002 1 1.003 1 0 9 0 1 9 25
1 1 9 1 1 4 4 4 1 9 1
36.028 0.148 25 12.738 36 1 1 4 4.02 9 1.022
1 4 1.018 4 4.155 1 1.039 4.06 9.079 9 0.362
4 4 4 4 4 4 4 4 9.055 9 2.32
16 16 4 4 4 16 4 4 1.414 9 1.942
9 3.377 9 9 9 1.588 4 9 9 9 3.828
9 0 0 9 1 1 4 0 4 9 9.055
4.725 1 9 1 9.04 9 9.007 16.033 1 9 2.416
9 16.666 9 9 9.063 3.083 2.668 3.946 1.769 9 3.092
1 4.045 4 1 0 1 1 1 0 9 1
25 16.033 9.028 16 4 9 16.027 5.28 3.559 9 3.934
0.998 0.334 4 9.016 0 0 1 4 0 9 0
0.002 0.735 4.705 14.322 9.712 17.287 1 16 2.08 9 5.064
0.991 16.02 28.089 25.039 0.175 18.835 0 0.166 0 9 1.04
4 36.028 0.199 4.935 0.827 0.944 1 12.409 0 9 0.463
1 1 9 9 1 16.418 2.632 2.794 1 9 0
0 4.114 9 1 16.033 4 0 4 0 9 0.001
9 9 9 4 2.434 0.078 4 1 0.856 9 13.527
9 4.045 0 16.033 4 1.39 4 0.326 0.226 9 1
1 9.072 1 1 1 9 1 1 0 9 1
4 4.045 1 4 1 1 0.682 0.999 1 9 9.027
1 1 9.027 0 0 1 0 4 1 9 1
4 4 4 9 1 1.873 16 16 5.035 9 0.719
4 9 4 4 1 4 4 4 1 9 3.406
1.806 11.896 9 9 9 0.887 9 9 9 9 6.951
4 1 4 0.571 1 1 0 1 0 9 0.001
4 0 1 1 1 1 0 1 1 9 4
4 9.103 16.918 4.05 1 0 0 0 9 9 1
0 4 4.365 16 1 8.94 0 6.82 9.041 9 2.632
0.097 0.798 25 25 11.925 1.222 8.175 8.05 4.377 9 3.991
1 0 0 1 4 1 1 1 0 9 0
1 4 4 9 9 1 9 1 9 9 0.889
1 4 4.045 4 0 1.048 4 4.021 1 9 0.998
