"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
0 0 0.259177105417743 0.258054263053688 0 0.478240800943234 0.381066182311689 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0.341231278502581 0 0 0 0 0 0.342834515490724 0 0 0
0 0 0.400474376036361 0 0 0.400983098051572 0 0 0 0 0
0 0.423680370338931 0 0 0 0 0.465098800981102 0 0 0 0
0 0.41876220601365 0.320079727988848 0 0 0 0.548981010386846 0 0 0 0
0 0 0.520939560637339 0 0 0 0 0.535621134014167 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.389518638846098 0 0 0 0 0 0 0 0 0 0.413647815783215
0 0 0.468451077020105 0 0 0 0 0.483920504437615 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0.426702156600171 0 0 0 0
0 0 0 0 0 0 0 0.424085124638018 0 0 0
0 0 0 0 0 0 0 0 0.489886596063839 0 0
0 0 0.311980391609576 0.435689797536595 0 0 0 0 0 0 0
0 0 0 0.650900489423652 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.421286849962062 0 0.421229573045681 0.420195617856976 0 0 0 0 0.420993358758504 0 0.0837019997040468
0 0.434229262257586 0 0 0 0 0 0 0 0 0
0.574725690368679 0.573771521933645 0 0 0 0.472103299760347 0 0.338381733713676 0 0 0
0 0 0 0 0 0 0.42701521757024 0 0 0 0
0.43721728378466 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.423732005348895 0.644443396761242 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0.500984103694783 0 0.328426494949677 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.300036080970246 0.299430870910836 0.298514944735564 0.299288048100038 0.298414428203234 0 0.298676988709902 0.297592410424971 0.299522655646955 0 0.29762713201806
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0.337051084969655 0 0 0 0 0 0
0 0.448098385471545 0 0 0 0 0 0 0 0 0
0 0 0 0.442331299110022 0 0 0 0 0 0 0
0 0 0 0 0.461896249912663 0 0 0 0 0 0
0 0 0 0 0 0.444897314622915 0 0 0.567076933836033 0 0.424191816354236
0 0 0 0 0 0 0 0 0 0 0
0 0.399838435300418 0.423805489219785 0.42839995093624 0.205944526930095 0 0.430994519698692 0.598415350461685 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.45534366891812 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.40068103337687 0 0 0 0.463795028628921 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0.468354926884608 0 0 0 0 0.468461950367488 0 0 0 0
0 0 0 0 0 0.479796915466069 0 0 0 0 0
0 0 0 0.544570922894472 0 0 0 0 0 0 0
0 0.567226859295831 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0.497068188620469 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.472856942544226 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.499507070721777 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0.473219315778861 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.410606325289073 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.44628186405094 0 0 0 0.331707457920836 0 0 0 0 0 0.360850421671069
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.382951912347942 0 0 0 0 0 0 0
0.491428681554079 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0.458805330150029 0 0 0 0 0 0 0
0.483824147481248 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0.532121480452406 0 0 0 0 0 0 0.443163956235401 0 0
0 0 0 0 0.604923297122569 0 0 0 0 0 0
0 0 0 0 0 0.422071696410321 0 0 0 0 0
0 0 0 0.548860304225136 0 0 0 0 0 0 0
0 0.393235600400548 0.394712877168831 0.394054059254686 0.394300856295299 0.446708170162105 0.393388286792991 0.395007093336041 0.393944601212774 0 0.393730298992211
0 0 0 0 0 0 0 0 0 0 0
0.377892459692625 0 0 0.380030938078737 0 0 0 0 0 0 0
0 0 0 0 0.549347944924245 0 0.411852871054885 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.513060130480994 0 0 0 0 0 0 0 0 0 0
0 0 0.330915635468368 0 0 0 0 0 0 0 0
0 0 0 0.522192686430839 0 0.408603095041454 0 0 0 0 0
0 0 0 0.53412373874929 0 0 0 0 0.438232680305172 0 0.326272797177587
0.423479870630335 0 0 0.578134606694779 0.413643395228388 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0.37286202560957
0 0 0 0 0 0 0 0.528379225343297 0 0 0
0 0 0 0 0 0 0 0 0 0 0.354510820824871
0 0 0 0 0 0.349168575816601 0 0 0 0 0.438016784372362
0 0 0 0 0 0 0 0 0 0 0
0.587260444125532 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0.478408205946257 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0.414484924143604 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0.376510386535 0 0 0 0 0 0 0 0 0
