"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
1 1 1 1 5.43 0 0 1 16.033 9 3.955
16.09 16.18 4 4 1 4 4 16 4 9 4
0.998 1 0 1 3.991 9.055 0 1.132 0 9 3.37
1 1 4 1 4.324 1 1 1 4.2 9 1.12
4 0 4 0 3.097 4 1.839 1.979 0.6 9 0.418
1 4 4 4 3.997 4 9 4 4 9 4.06
1 1 9 3.061 1 9 1 0 2.02 9 9
4 4 4 8.995 8.422 4 1 9.107 4 9 3.991
1 3.997 0 9.027 9.04 1.051 4.105 0 4 9 0.998
4 4 4 9 4 9 1 9.055 4 9 4
9 0 0 3.997 4.12 1 1 4.077 4 9 5.325
3.997 0 1 1 5.15 1 0 4 9 9 4.227
8.975 16.132 4 16.018 9.007 1 9 0.455 9 9 0.507
0.815 0.341 9 0 16.051 4 0 1 5.688 9 9
9.079 1 16 4.005 1.003 4 11.337 9 0 9 4.025
9 1 0 1 4 4 4 1 4 9 8.995
9 1 9 3.991 7.065 4 3.745 0.999 9 9 9.034
0 1 1 9 1 1.27 16 0 1 9 1.012
4 4 1 4 1 8.27 9.016 1 8.995 9 3.994
0.147 4 1 0.314 14.285 1 1 16.065 1 9 0.883
9 3.997 1 9 4.142 9 9 9 9 9 8.995
4 4 4 4 1.303 1.582 1.972 1.855 4 9 3.243
4 0.031 0.033 16 4 0.041 0.516 0 0.249 9 13.01
4 15.67 9 9 1.975 2.936 4 9 2.69 9 3.304
0 1.4 0 0 0 4 4 9 4 9 16.065
1 5.348 1 8.995 1.003 4 4 0.996 0 9 3.952
4 2.717 4.05 9 2.588 4.01 1.107 9 9.182 9 2.07
4 4 4 0 5.215 4 1 1 4 9 4
8.745 4.005 25 3.431 9.07 7.34 4 16 7.851 9 5.99
2.236 0 4 0 4 7.145 4 0 9 9 4.077
9 16 5.375 9 9 9 4.985 4 0.963 9 4.385
1.474 13.515 1.78 46.426 4.032 9.798 0.999 24.802 17.317 9 1.017
12.234 1 1 1 0.529 0.402 0.805 0.698 1.142 9 0.893
4 1 4 14.955 3.997 8.985 9 1 4.026 9 2.409
1 1 4.035 1 4 3.994 3.949 1 4.03 9 0.476
9 4 4 9 9 1.846 9 9 2.668 9 2.116
9 1 9 1 9 1.318 9 2.326 1 9 9
4 1 3.997 1 4.225 1 5.825 4 4 9 2.59
0.691 1 1 0 0.022 0.244 1 0.324 0.053 9 1
1 0.999 1 0 8.995 1 1 4 4 9 3.997
9 2.136 0.169 4 17.935 16.744 0.002 0.155 0.05 9 0.74
4 4 0.999 4 0.994 1.964 16 4 4.045 9 1.021
9 7.405 18.556 16 8.498 9 9 9.042 16 9 7.572
0 9 9.055 0 1 4 4 4 4 9 8.99
4 9 4 0 9 4 9 0 3.997 9 0.304
1 1 1 1 1 4 1 4 4 9 1.111
8.594 5.155 8.605 15.993 1.101 5.46 7.61 7.415 0.424 9 4.796
3.587 13.949 25 16 2.154 13.319 1.048 7.275 3.45 9 7.099
3.997 4 5.205 0 0.999 4 4 4 4 9 4.242
4 16.065 9 2.763 0.54 3.524 4 9.027 1.938 9 16.066
1 3.318 9 9.047 1.749 9 9 4 4 9 4.026
16.02 1 1.063 1.063 1 4 4 6.412 9 9 1.207
3.997 6.585 4 0.718 4 4 1 1 9 9 9.055
9 0 1 9.04 9 3.997 1 2.554 9 9 9
9 4 1 1 9 4 9 9 9 9 2.617
4 4 4 0 4 4 4 4 5.675 9 4.01
16 4 14.421 3.997 4 25 16.009 9 4 9 2.556
0.945 1 9.055 1 1 1 1 1 0.999 9 25.039
16.048 3.997 1 1.012 0 1 4 1 4 9 1.548
4.56 4 1 9 1.003 1 4 4 4 9 9.062
9.055 16.02 0 4 0 8.995 0 9.072 4 9 9.062
0 4 4 0 0 0 9 4 1 9 3.997
9 9 0 0 1 1 1 9 4 9 8.625
3.922 9.04 16 1 2.497 1 1 25.024 1.906 9 1.057
