"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
9.048 36 25 25 49 49 36 36 36 4 36
25 49 25 49 25 49 49 36 25 4 36
49 16 49 36 25 49 36 36 16 4 25
16 16 36.013 36 16.033 25 36 49 25 4 25
49 49 49 36 49 49 16 25 49 4 36
36 36 36 36 25 9 49 36 16 4 81
25.024 9.04 49 36 36 25 49 49 25 4 25.056
49 49 36 36 49 36 16 49 49 4 49
36 25 36 64 36 64 25 36 49 4 49
36 36 36 49 36 36 36 25 36 4 36
49 36 25 49 16.02 16 36 36 16.068 4 36
49 36 81 49 25.067 16.02 25 9 16 4 36
36 36 25 49 25 16.009 36 16.048 25 4 49
36 16.02 36 49 25 36 25 49 36 4 25.022
49 36 25 25 25 16.123 49 25 36 4 49
49 36 64 36 49 25 64 36 9.091 4 49
49 36 36 64 16 36 36 9 16.02 4 25
25.039 36 36 81 36 49 49 64 25 4 36
36 49 25 36 49 25 49 25 49 4 16
25.193 64 25 25 16 36 36 25 36 9 64
36 25.024 16 36 36 49.03 25 25 36 4 36
36 64 16 25 49 16 49 36 49 4 16
49 36 36 25 25 36 36 36 25 4 16
25 49 36 36 49 49 25 36 36 4 36.039
16 49 49 36 9 36 36 25 49 4 16
36 49 36 16 16 49 49 36 9.613 4 49
25.039 36 25 49 49 49 36 36 36 4 25.024
25 36 49 25 36 36 36 49 25 4 25.039
25 25 49 25.05 16 49 36 49 36 4 36
36 16 25 25 25 25 36 16 16.033 4 36
36 9.055 36 36 25.039 25 64 49 9 4 36
49 9.04 49 36 36 25.024 16.02 16 25 4 16
36 49 36 36 49 36 49 9.027 25.024 4 64
25 36 36 36 36 36 45.139 25.957 25.024 4 36
25 64 25 25 25 25.011 49 36 25 4 36
25 49 64 49 36 36 49 49 36 4 36
16.033 16.02 25 49 49 36 25 25 64 4 25
64 36 49 64 49 25 16 25 36 4 49
25 36 25 36 25 64 36.266 25 36 4 25
25 25 36 64 49 44.19 36 64 42.292 4 25
25 25 25 9 55.315 49 16 36 16 4 36
16 36 36 64 16.02 25 25 49 36 4 49
36 49 25 25 36 49 49 25 25 1 9.055
36 36 36 16 49 36 25 36 25 4 25
49 36 80.456 49 25 49 25.283 36 49 4 36
36 64 25 25 36 25 36 36 25 4 16
25 16 25 25 36 36 49 36 16 4 25
36 36 49 25 49 49.015 25 36 9.016 4 36
16.065 49 25 25 36 36 49 25 36 4 25
36.013 49 36 9 36 16 36 36 16 4 24.028
25 36 25 49 49 16 36 25 36 4 25
36 49 25.024 64 25 16 36 25 49 4 36
25 49 36 64 49 9 49 49 36 4 16.033
16 49 49 36 36 36 49 49 4.05 4 36
25 36 49 36 25 36 64 64 25.056 4 36
16.02 16 49 36 25 25 49 49 25 4 25
36 36 49 49 36 25 64 64 49 4 16.009
36 49 36 25 49 16 49 81 36 4 49
25 9 16 25 49 49 49 49 36 4 16
36 49 36 36 64 25 36 49 16 4 36
36 36 64 25 49 16 25 49 36 4 25
49 36 25 36 9.048 25.011 36 16 36 4 9
25 16 49 49 81 36.013 25 49 25 4 36
36 25 36 49 36 25 36 36 25 4 16
64 49 49 49 16.033 25 36 49 81 1 49
9.055 49 36 36 16 49 81 31.998 16 4 25.039
36 25 16 36 36 49 36 36 36 4 49
81 36 16 36 36 25 36 64 49 9 49
25 36 25 36 49 25 36 16.048 36 3.979 36
25 36 25 25 25.011 25 36 25.024 16 4 16
25 25 25 49 36 36 49 49 16 4 36
25 25 25 16 16.033 25 49 25.024 49 4 49
64 36 36 36 25 36 49 25 25 4 64
49 49 36 49 36 36 16 36 25 4 36.013
49 49 25 25 25.033 16.02 36 49 9.04 4 16
25.024 49 49 25 25 49 25 16 49 4 25
9 36 25 25 16 50.47 36 36.013 16 4 25
49 49 36 49 36 25.024 36 25 36 4 49
49 81 49 25 49 4 36 16 36 9 36
36 49 49 36 49 25 36 36 25 4 49
20.404 36 16 25 49 49 36 25 9 4 16
36 36 36 49 36 25 49 36 25 4 16
36 36 25 49 16 49 49 36 25 4 36
36 49 25 64 16 49 49 49 36 4 31.314
25 9.034 36 49 36.028 81 49 25 25.024 4 25
36 36 25 36 36 36 16 25 25 4 16
64 16 25 25 25.035 36 16 25 25 4 49
36 36 64 16 16.048 25.039 16 46.283 40.901 4 36
25 36 49 36 16 16 16 49 36 4 36.056
25 49 36 64 36.054 25 49 25 25 4 36
36 36 36 36 25 36 36.013 25 16 4 49
36 36.013 36 23.931 36 36 36 36 49 4 36
36 49 25 16 49 49 36 49 25 4 25.035
49 49 36 36 36 49 36 49 49 4 25.039
49 25 25 25.024 25 16.048 36 36 25.059 4 9.04
36 25 25 49 25 36 16 25 49 4 49
16 25 36 36 25 25.035 36 25 36 4 36
64 49 36 49 49 25 25 49 64 4 36
25 25 49 36 64 50.47 49 49 25 4 36.013
49 49 36 16.033 36 25 49 25 25 4 36
