"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
4 4.037 4 4 4 0 4 9 9 9 4
9 4 9 9 4 1 4 9 4 9 9
4 1 9 4 9 4 9.362 4 9 9 24.202
4.045 9 4 37.965 9 9 9 4 9 9 4
4 4 4 9 4 4 1 9 9 9 16.111
9 4 4 4 16.033 9 4 9 4 9 9
9 4 4 9 4 4 9 9 4 9 4.06
4 9.055 9 4 4 9 9 1 9 9 4
9 9 9 9 4 9 9 1 9 9 9
9 9 9 9 4 9 9 25.011 1 9 4.05
9 9 9 1 4 9 4 9 9 9 9
9 9 9 9 9 4 4 9 9 9 9
4 9 0 4 4 9 9 9 4 9 9
4 4 4 4 9 9 9 9 9.062 9 9.034
9 9 9 9 4 9 4 9.055 1.161 9 4
9 9 1 4 9 4 9 9 9 9 4
9 4 1 4 4 4 9 4 9 9 4.032
4 9 9 16.129 4 9 9 4 9 9 4
9 9 4 9 4 1 9 4 1 9 9
4 9 4 9 9 4 4 9 9 9 9
9 9 4 4 4 9 9 9 16.02 9 4
4 0 9 4 4 4 4 4 9 9 0
4 9 9 9 9 9 9 9 25.039 9 4
9 9 9 0 9 0 9 9 4 9 9
9 9 4 9 9 4 4 9 9 9 9
4 4 4 4 1 4 4 4 4 9 9
4 4 9 9 9.027 4 4 9 9 9 4
9 1 9 4 4 4 9 4 4 9 4
4 4 4 9.079 4 9 9 9 9 9 9
1 4 4 9 9 4 16.065 4 9 9 4
4.05 9 9 4 1 9 9 1 9 9 4
4 4 4 4 4 4 4 5.1 4 9 4
9 4.05 9 9 4 9 4 4 9 9 4
9 9 4 1 4 4 16.033 9 9 9 4
4.045 9 4 9 4 9 9 4 9 9 9
16.033 4 9 4 4 4 4 4 9 9 4
1 9 9 4 16.042 9 4 9 9 9 4
9 4 4 9 9 4 4 9 1 9 9
9 9 4 9 9 9 4 1 9 9 4.112
9 9 9 9 4 4.045 4 9 9 9 9
1 1 1 1 9 9 0 1 9 9 9
4 9 4 4 9 4 9 9 9 9 4
9 16.033 4 4 1 4 9 9 4 9 9
9 4 9 9 9 4 9 4 4 9 9
16.123 4 9 9 4 4 9 9 9 9 4
9 1 1 9 9 9 9 9 9 9 9
4 9 4 4 9 9 9 4 9 9 9
25.303 9 1 9 9 9 4 9 9 9 4.075
9 9 4 4 9 1 9 4 9 9 4
1 1 9 1 9 4 4 9 4 9 9
16.02 9 9 4 9 9 9 1 4 9 9
9 4 9 4 9 4 9 9 4 9 9
9 4 4 9 4 9 9 4 9.775 9 4
9 16.033 9 1 4 4 9 4 4 9 9
9 4 4 9 4 9 4 9 4 9 4
36.028 9 9 9 9 9 9 4 16.033 9 25.039
4 9 9 4 9 4 9 4 1 9 9
9 4 4 9 4 9 9 9 1 9 4
4 9 9 4 9 1 9 1 9 9 4
36.333 4 9 4 25.387 9 4 9 4 9 9
4 9 4 1 9 4 9 9 4 9 9.083
4.032 9.007 1 9 4 9.085 9 4 9 9 1
9 4 9 9 4 9 4 9 9 9 4
9 9 9 0 4 4 4 1 1 9 9
16.066 9 9 9 9 4 9 4 9 9 4
9 9 4 9 9 9 9 9 9 9 9
9 4 9 9 9 4 9 4 9 9 4.045
24.925 4 9 4 4 4 4 4 9 9 9
9 9 4 9 9 4 4 9 4 9 9
4 9 1 9 9.04 9 9 4 9 9 9
9 9 9 9 9 9 9 9.047 9 9 25.024
9 9 9 4 4.045 4 4 9 25.024 9 9
9 4 4 4 9 4 4 1 4 9 4
9 9 9 1 29.578 4 4 9 9 9 9
9 4 4 4 4 4 9 9 1 9 9
4 4 4 9 9 1 25.039 9 4.297 9 9
16.042 4 9 16.033 4 9 4 9 9 9 9
4 9 4 4.125 9 4 9 4 9 9 9
9 9 4 9 4 9 4 4 4 9 4
4 4 4 4 9 1 9 9 9 9 4
9 9 0 0 16.033 4 4 4 1.102 9 9
9 4 9 9 7.467 9 4 4 9 9 9.027
9 9 4 9 4 9 4 9 1 9 9
25.024 9 9 0 4 4 1 1 9 9 4
4 4 4 4 9 4 9 9 9 9 9
9 4 9 9 1 9 9 16.02 16.02 9 9
9 1 9 9 9 1 4 4 9 9 9
4 9 9 4 4 9 4 9 9 9 9
9.062 9 4 4 1 4 4 4 9 9 4
16.048 9 9 4 9 4 9 9 9 9 9.04
9.016 9 9 4 25.035 4 9 1 9 9 9
4 9 9 1 9 9 4 4 9 9 9
9 25.039 9 9 9 9 9 4 25.024 9 9
4 4 9 11.063 4 9 4 9 9 9 9
9 4 9 4 9.055 4 4 9 4 9 9.027
9 9 1 4 9 9 1 4 9 9 9
9 9 9 4 4 9 9 4 9 9 9
4 1 9 4 1 4 9 4 9 9 9
9 9 4 4 9 9 9 9 9 9 9
4 9 9 1 16.093 9.069 4 16.033 4 9 9
