"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
0.00309768635280648 0.00319527372458337 0 0 0 0.0787290526940246 0 0.00253208731738974 0 0 0
0.0404408551153073 0.114909375190856 0.11388085574266 0.0777427708620495 0.0781875445884763 0.0449777158539784 0.113993800868974 0.0389415000419096 0.00782995509158699 0 0.0990536423435071
0 0.0293245320783412 0.029709904162995 0 0.0301389197145417 0.0294302594167079 0 0 0 0 0.0290141280714968
0.00868972587485077 0.0358706019258913 0 0.0577306318991757 0.0861107159983644 0 0 0.0581241450739093 0.13127495694812 0 0.144244820398848
0 0 0.150817040131043 0.142060727541058 0 0 0 0 0 0 0.140621928045927
0 0 0 0 0 0.0218843692271031 0 0 0.0194762640686371 0 0
-0.00224006761819472 0 -0.00200255756508627 0 0 -0.00212100180666115 0 -0.00251530837862328 -0.00200983480423118 0 0
0 0 0.038521176239017 0.0373755176718638 0 0.0380902578027586 0 0.0373005774006821 0 0 0
0.0358468948032189 0.0684193425272278 0.067516693015321 0.0681772467031853 0.0674076385607155 0.0678849036472777 0.0679711031174387 0.0294634462813003 0.0412824592136882 0 0.0616751464381773
0.00643902816109788 0.0073519005928354 0.00912105301192063 0.00754210090815916 0.00816903598331731 0.0557504536662541 0 0.00667165769781587 0 0 0.00857878179563618
0.0544462700767723 0.171920067949452 0 0 0.0295010887213616 0 0 0 0 0 0
0.102064267577369 0.102382622707271 0.143306613641934 0.103229188833069 0.172684949773931 2.28363141310677e-06 0.0536215604247551 0.0926642834115876 2.28363141310677e-06 0 0.085736526098829
0.130561036877787 0.12976952581977 0.126626200373835 0.152761381526872 0.11625900921939 0.127893918271499 0.128985581785536 0.135278392940793 0.0123267998876662 0 0.123276222316114
-1.03865753513588e-06 -0.0032598517732281 -0.000207699579848017 0.0495105759502292 0 0.0500675894387051 0.0497877132580325 0 0.0494464517354958 0 0.0349597919542077
0 0.11657385104388 0 0 0 0 0.0187885218582199 0 0 0 0.0272635986092042
0.0564719646213394 0.0342961009820068 0.0339510112626899 0.121866582439124 0.0247576294514568 0.0339482317639168 0.0349940909069777 0.0340535404240311 0 0 0.136010498141459
0 0 0 0 0 0.172432878065521 0 0 0 0 0
0.107009133731005 0.203302392760679 0 0 0 0 0 0 0.186633753840468 0 0.101204917152233
0 0 0 0 0.0827316805030766 0 0.0101111117758985 0 0.198184746517562 0 0
0.0819272207262863 0 0 0.127853181618759 0 0 0 0 0 0 0.0931870540525622
0 0 0.0646555722774542 0.0639904481461125 0.0645191423849857 0 0 0.0644691383921533 0 0 0
0 0 0 0 0 0 0.0332059689368929 0.0330667357176503 0 0 0.0808356678818086
0 0 0 0 0 0 0 0 0 0 0
0.0940426981426181 0.0298316020876353 0.141472427009236 0.141557778773738 0.0288792779551587 0.0688435122724036 0.0280423693859524 0.142343834824242 -5.30010492044444e-07 0 0.0293655139668444
0.0763588161143294 0 0.137547434228532 0 0.152210349114318 0.101435053566278 0 0.0755588257374619 0 0 0
0.0714978698288371 0.121319703940396 0.0480156576653826 0.238777333789447 0.044789356661885 0.050539650832566 0.0713363432899946 0.234840312800742 0.0709747077380975 0 0.0725525618355825
0 0.0867907252489592 0 0 0 0 0 0.205846741913846 0.17071151250786 0 0
0.0578980321985801 0.00655947666087078 0.0585028818179846 0.00594396097595565 0.0607769218670139 0.00688653033690808 0.00644364360327456 0.154326508918141 0 0 0.0395361727157619
0 0 0 0 0.181122250168048 0 0 0 0 0 0
0 0.00288753490393325 0.0440861063078298 0.0307545364214313 0 0 0.0443991434069198 0 0.0446358487909114 0 1.51667804175306e-07
