"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
0.328239816969697 0.328845697171717 0.328393450909091 0.328731825252525 0.425135396969697 0.311610834747475 0.302481474949495 0.328513222424242 0.272386641212121 0.75010101010101 0.41767098
0.227347808686869 0.225071895151515 0.267373468282828 0.415002213333333 0.302762128080808 0.417150163232323 0.268408726262626 0.224789123434343 0.415608259393939 0.754949494949495 0.415451621616162
0.302687940606061 0.29144685979798 0.290659923434343 0.290675418787879 0.502375744242424 0.269821058383838 0.289730861616162 0.290582963636364 0.289627673939394 0.751313131313131 0.360643837575758
0.277072377777778 0.275862348484848 0.222584772525253 0.276243525050505 0.351433754747475 0.275909528888889 0.276514601010101 0.276543526060606 0.376876093333333 0.753131313131313 0.272978958989899
0.250641206868687 0.26967813010101 0.245917391111111 0.269617041616162 0.291705551717172 0.250130237777778 0.252771560808081 0.252071696565657 0.24820774989899 0.753535353535354 0.246960297575758
0.296177005050505 0.431233177373737 0.431994905858586 0.431752623838384 0.432512686060606 0.431566720606061 0.754949494949495 0.429826683434343 0.431079138585859 0.754949494949495 0.235353215555556
0.290730618181818 0.289652388484848 0.74 0.332173304040404 0.290417851717172 0.74 0.290930692323232 0.280593944040404 0.282965771717172 0.74 0.74
0.38821457050505 0.38927274020202 0.38791028020202 0.754111939191919 0.222740047474747 0.388130782828283 0.263140384646465 0.226103930707071 0.387667942626263 0.754141414141414 0.386787501818182
0.274992981818182 0.333140336363636 0.263493416565657 0.265724477777778 0.225519727272727 0.273786586060606 0.329191624848485 0.263596078787879 0.336914721414141 0.741616161616162 0.301068568080808
0.322743767070707 0.32190438040404 0.322069012323232 0.747676767676768 0.322773916565657 0.747676767676768 0.253352895151515 0.237327342626263 0.322401573131313 0.747676767676768 0.321776623030303
0.756161616161616 0.284634042626263 0.284983783232323 0.427971619393939 0.217755819393939 0.317260972525253 0.318015208888889 0.215746179393939 0.42764990949495 0.756161616161616 0.45861620989899
0.412743561616162 0.272953523434343 0.265512143232323 0.273739138787879 0.417446003838384 0.263798716565657 0.27393105979798 0.411026719191919 0.745858585858586 0.745858585858586 0.411441436565657
0.754953487676768 0.232663701010101 0.24686839959596 0.234089279191919 0.230889083636364 0.243528129090909 0.233097360808081 0.266516415151515 0.236513066262626 0.756767676767677 0.249650961010101
0.254648530707071 0.270576156363636 0.757171717171717 0.291342228484848 0.241409294141414 0.245465204040404 0.292306556767677 0.285796124242424 0.239199877171717 0.757171717171717 0.757171717171717
0.283508249090909 0.279807116969697 0.259055311717172 0.272780966262626 0.277103192121212 0.257549596161616 0.246111124444444 0.266191834141414 0.303684864646465 0.744040404040404 0.258538389090909
0.747676767676768 0.264441282424242 0.244772203030303 0.264080948282828 0.348812 0.353381756565657 0.350933251515152 0.26471799010101 0.351980818585859 0.747676767676768 0.747647696767677
0.756969696969697 0.236103157171717 0.756969696969697 0.563768081414141 0.506151852727273 0.242380884646465 0.349045275555556 0.311089932727273 0.756969696969697 0.756969696969697 0.246776231717172
0.290085017575758 0.243768138787879 0.314784206868687 0.232568293131313 0.315704773737374 0.305413734747475 0.248847316161616 0.293337078989899 0.315111867272727 0.744444444444444 0.314070931717172
0.348307762222222 0.347438043434343 0.215986426262626 0.226805304040404 0.216705062828283 0.641017861616162 0.218850462828283 0.215555005656566 0.752091333131313 0.752121212121212 0.34791794020202
0.300442019393939 0.260290324444444 0.275983356161616 0.276713181212121 0.243250668686869 0.275354393333333 0.27551580989899 0.247166324848485 0.27629596989899 0.744848484848485 0.264678261212121
0.753535353535354 0.340857158787879 0.249996721414141 0.753535353535354 0.243283488080808 0.753535353535354 0.753535353535354 0.753535353535354 0.753535353535354 0.753535353535354 0.753504262424242
0.248855316565657 0.248047978181818 0.25055800040404 0.248162672121212 0.276360670707071 0.21969303979798 0.233336483232323 0.265953587474747 0.247349956969697 0.754545454545455 0.217836055959596
0.279955708080808 0.264701045858586 0.265985341818182 0.268365853939394 0.280938354141414 0.263693674141414 0.25678723010101 0.265575323636364 0.261952055757576 0.755757575757576 0.251859122828283
0.263768700606061 0.238917852929293 0.261574521616162 0.259915204040404 0.251154514545455 0.245497523030303 0.263188132121212 0.256761495757576 0.236470686666667 0.757373737373737 0.254461052525253
0.279725658989899 0.257960973939394 0.277357914343434 0.282488365656566 0.277233273737374 0.45786538969697 0.46086476040404 0.742020202020202 0.268534556565657 0.742020202020202 0.259087475555556
0.242995103434343 0.349432081414141 0.242951658181818 0.741382242222222 0.243439858585859 0.237830041414141 0.327918867676768 0.242647788484848 0.245716311111111 0.741414141414141 0.326072743636364
0.254605907878788 0.22510707959596 0.254308876565657 0.249161312121212 0.225663834949495 0.254579893535354 0.246947827676768 0.24849722020202 0.253402111313131 0.73959595959596 0.20739848969697
0.346362523636364 0.344442745656566 0.342454234141414 0.231810202020202 0.376094151717172 0.255603012929293 0.261751084848485 0.261956688080808 0.34411545030303 0.754545454545455 0.345779095757576
